Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Odnajdowanie sieci (nazwa NB — ruch wychodz¹cy)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (nazwa NB — ruch wychodz¹cy)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	5358	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	5358	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	5358	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy Pub-WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy Pub-WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy Pub-WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy SSDP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy SSDP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
