Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Monitorowanie maszyny wirtualnej (sesja NB — ruch przychodz¹cy)	Monitorowanie maszyny wirtualnej	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	139	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Monitorowanie maszyny wirtualnej (zdalne wywo³ywanie procedur)	Monitorowanie maszyny wirtualnej	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Monitorowanie maszyny wirtualnej (¿¹danie echa — ruch przychodz¹cy ICMPv4)	Monitorowanie maszyny wirtualnej	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Monitorowanie maszyny wirtualnej (¿¹danie echa — ruch przychodz¹cy ICMPv6)	Monitorowanie maszyny wirtualnej	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Muzyka Groove	Muzyka Groove	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.zunemusic_8wekyb3d8bbwe	
Odnajdowanie sieci (datagram NB — ruch przychodz¹cy)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (datagram NB — ruch przychodz¹cy)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (datagram NB — ruch przychodz¹cy)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (nazwa NB — ruch przychodz¹cy)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (nazwa NB — ruch przychodz¹cy)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (nazwa NB — ruch przychodz¹cy)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	5358	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	5358	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy bezpiecznych zdarzeñ WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	5358	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy LLMNR-UDP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy Pub-WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy Pub-WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy Pub-WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy SSDP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
